date_pk,year,month,month_name,week,day_name
2020-11-01,2020,11,November,44,Sunday
2020-11-02,2020,11,November,45,Monday
2020-11-03,2020,11,November,45,Tuesday
2020-11-04,2020,11,November,45,Wednesday
2020-11-05,2020,11,November,45,Thursday
2020-11-06,2020,11,November,45,Friday
2020-11-07,2020,11,November,45,Saturday
2020-11-08,2020,11,November,45,Sunday
2020-11-09,2020,11,November,46,Monday
2020-11-10,2020,11,November,46,Tuesday
2020-11-11,2020,11,November,46,Wednesday
2020-11-12,2020,11,November,46,Thursday
2020-11-13,2020,11,November,46,Friday
2020-11-14,2020,11,November,46,Saturday
2020-11-15,2020,11,November,46,Sunday
2020-11-16,2020,11,November,47,Monday
2020-11-17,2020,11,November,47,Tuesday
2020-11-18,2020,11,November,47,Wednesday
2020-11-19,2020,11,November,47,Thursday
2020-11-20,2020,11,November,47,Friday
2020-11-21,2020,11,November,47,Saturday
2020-11-22,2020,11,November,47,Sunday
2020-11-23,2020,11,November,48,Monday
2020-11-24,2020,11,November,48,Tuesday
2020-11-25,2020,11,November,48,Wednesday
2020-11-26,2020,11,November,48,Thursday
2020-11-27,2020,11,November,48,Friday
2020-11-28,2020,11,November,48,Saturday
2020-11-29,2020,11,November,48,Sunday
2020-11-30,2020,11,November,49,Monday
2020-12-01,2020,12,December,49,Tuesday
2020-12-02,2020,12,December,49,Wednesday
2020-12-03,2020,12,December,49,Thursday
2020-12-04,2020,12,December,49,Friday
2020-12-05,2020,12,December,49,Saturday
2020-12-06,2020,12,December,49,Sunday
2020-12-07,2020,12,December,50,Monday
2020-12-08,2020,12,December,50,Tuesday
2020-12-09,2020,12,December,50,Wednesday
2020-12-10,2020,12,December,50,Thursday
2020-12-11,2020,12,December,50,Friday
2020-12-12,2020,12,December,50,Saturday
2020-12-13,2020,12,December,50,Sunday
2020-12-14,2020,12,December,51,Monday
2020-12-15,2020,12,December,51,Tuesday
2020-12-16,2020,12,December,51,Wednesday
2020-12-17,2020,12,December,51,Thursday
2020-12-18,2020,12,December,51,Friday
2020-12-19,2020,12,December,51,Saturday
2020-12-20,2020,12,December,51,Sunday
2020-12-21,2020,12,December,52,Monday
2020-12-22,2020,12,December,52,Tuesday
2020-12-23,2020,12,December,52,Wednesday
2020-12-24,2020,12,December,52,Thursday
2020-12-25,2020,12,December,52,Friday
2020-12-26,2020,12,December,52,Saturday
2020-12-27,2020,12,December,52,Sunday
2020-12-28,2020,12,December,53,Monday
2020-12-29,2020,12,December,53,Tuesday
2020-12-30,2020,12,December,53,Wednesday
2020-12-31,2020,12,December,53,Thursday
2021-01-01,2021,1,January,53,Friday
2021-01-02,2021,1,January,53,Saturday
2021-01-03,2021,1,January,53,Sunday
2021-01-04,2021,1,January,1,Monday
2021-01-05,2021,1,January,1,Tuesday
2021-01-06,2021,1,January,1,Wednesday
2021-01-07,2021,1,January,1,Thursday
2021-01-08,2021,1,January,1,Friday
2021-01-09,2021,1,January,1,Saturday
2021-01-10,2021,1,January,1,Sunday
2021-01-11,2021,1,January,2,Monday
2021-01-12,2021,1,January,2,Tuesday
2021-01-13,2021,1,January,2,Wednesday
2021-01-14,2021,1,January,2,Thursday
2021-01-15,2021,1,January,2,Friday
2021-01-16,2021,1,January,2,Saturday
2021-01-17,2021,1,January,2,Sunday
2021-01-18,2021,1,January,3,Monday
2021-01-19,2021,1,January,3,Tuesday
2021-01-20,2021,1,January,3,Wednesday
2021-01-21,2021,1,January,3,Thursday
2021-01-22,2021,1,January,3,Friday
2021-01-23,2021,1,January,3,Saturday
2021-01-24,2021,1,January,3,Sunday
2021-01-25,2021,1,January,4,Monday
2021-01-26,2021,1,January,4,Tuesday
2021-01-27,2021,1,January,4,Wednesday
2021-01-28,2021,1,January,4,Thursday
2021-01-29,2021,1,January,4,Friday
2021-01-30,2021,1,January,4,Saturday
2021-01-31,2021,1,January,4,Sunday